Number	Dead_or_alive	Birth_Cycle	Generation	Death_Cycle	Age	Size	Speed	Sense_Radius	Max_Energy	Energy_Consumption	Food_eaten
1	Dead	1	1	2	1	0.82	0.79	21.14	263.75	1.4	0
2	Dead	1	1	2	1	0.8	0.78	18.9	239.4	1.26	1
3	Dead	1	1	13	12	1.05	0.68	20.27	276.6	1.55	24
4	Dead	1	1	2	1	0.73	0.71	21.51	267.16	1.27	1
5	Dead	1	1	7	6	1.04	0.73	16.99	265.76	1.45	11
6	Dead	1	1	6	5	0.94	0.73	19.3	230.26	1.41	11
7	Dead	1	1	1	0	1.01	0.66	21.45	254.59	1.52	0
8	Dead	1	1	1	0	1.12	0.74	22.69	271.6	1.9	0
9	Dead	1	1	4	3	0.86	0.75	17.69	211.51	1.24	5
10	Dead	1	1	1	0	0.85	0.75	21.01	237.9	1.4	0
11	Dead	1	2	21	20	1.16684218522662	0.735330737041482	20.9970383358567	265.76	1.91	47
12	Dead	2	3	4	2	1.32717889398811	0.669474930156587	17.8951343006945	265.76	1.94	1
13	Dead	3	2	6	3	0.808249999978424	0.658812806791251	18.1635426129178	230.26	1.14	2
14	Dead	4	3	8	4	0.784204388108348	0.738489648269204	21.3972532884831	230.26	1.33	5
15	Dead	5	2	8	3	1.20070832536353	0.815440624217823	15.965754297896	265.76	1.95	4
16	Dead	6	3	7	1	1.48793448642824	0.941734973938902	12.9067350958052	265.76	3.57	1
